Timestamp	Lambda3	Lambda4	Lambda5	Lambda6	Lambda7	Lambda9	Lambda10	Lambda11	Lambda12
17/1/2023 16:25:06.78555	"152,357,540"	"152,743,170"	"153,101,253"	"153,491,468"	"153,929,581"	"154,721,961"	"155,086,040"	"155,471,620"	"155,837,221"
17/1/2023 16:25:07.28555	"152,357,499"	"152,743,092"	"153,101,046"	"153,490,606"	"153,929,337"	"154,721,964"	"155,086,358"	"155,471,596"	"155,837,223"
17/1/2023 16:25:07.78555	"152,357,418"	"152,742,768"	"153,101,148"	"153,490,581"	"153,929,290"	"154,721,958"	"155,086,153"	"155,471,586"	"155,837,335"
17/1/2023 16:25:08.28555	"152,357,489"	"152,742,861"	"153,101,099"	"153,490,563"	"153,929,313"	"154,721,999"	"155,085,976"	"155,471,593"	"155,837,253"
17/1/2023 16:25:08.78555	"152,357,345"	"152,742,814"	"153,101,001"	"153,490,563"	"153,928,804"	"154,721,972"	"155,086,092"	"155,471,563"	"155,837,118"
17/1/2023 16:25:09.28555	"152,357,148"	"152,742,788"	"153,101,015"	"153,490,563"	"153,928,838"	"154,721,824"	"155,085,975"	"155,471,440"	"155,837,037"
17/1/2023 16:25:09.78555	"152,357,193"	"152,742,834"	"153,100,861"	"153,490,402"	"153,929,112"	"154,721,765"	"155,086,145"	"155,471,450"	"155,837,146"
17/1/2023 16:25:10.28555	"152,357,331"	"152,742,605"	"153,100,904"	"153,490,259"	"153,928,833"	"154,721,648"	"155,085,736"	"155,471,403"	"155,837,140"
17/1/2023 16:25:10.78555	"152,357,052"	"152,742,621"	"153,100,592"	"153,490,178"	"153,929,020"	"154,721,650"	"155,085,966"	"155,471,377"	"155,836,975"
17/1/2023 16:25:11.28555	"152,357,055"	"152,742,610"	"153,100,799"	"153,490,227"	"153,928,754"	"154,721,672"	"155,085,918"	"155,471,335"	"155,837,154"
17/1/2023 16:25:11.78555	"152,357,139"	"152,742,686"	"153,100,633"	"153,490,863"	"153,928,723"	"154,721,629"	"155,085,648"	"155,471,308"	"155,837,083"
17/1/2023 16:25:12.28555	"152,357,059"	"152,742,477"	"153,100,677"	"153,490,840"	"153,928,842"	"154,721,492"	"155,085,892"	"155,471,246"	"155,836,963"
17/1/2023 16:25:12.78555	"152,356,871"	"152,742,607"	"153,100,654"	"153,490,687"	"153,928,913"	"154,721,593"	"155,085,656"	"155,471,232"	"155,836,926"
17/1/2023 16:25:13.28555	"152,356,819"	"152,742,428"	"153,100,611"	"153,489,743"	"153,928,560"	"154,721,542"	"155,085,714"	"155,471,336"	"155,837,013"
17/1/2023 16:25:13.78555	"152,357,106"	"152,742,416"	"153,100,441"	"153,490,047"	"153,928,528"	"154,721,503"	"155,085,658"	"155,471,211"	"155,836,954"
17/1/2023 16:25:14.28555	"152,356,959"	"152,742,487"	"153,100,497"	"153,489,976"	"153,928,761"	"154,721,501"	"155,085,465"	"155,471,304"	"155,836,901"
17/1/2023 16:25:14.78555	"152,356,900"	"152,742,399"	"153,100,478"	"153,489,799"	"153,928,375"	"154,721,352"	"155,085,512"	"155,471,180"	"155,836,869"
17/1/2023 16:25:15.28555	"152,356,840"	"152,742,165"	"153,100,419"	"153,489,670"	"153,928,697"	"154,721,497"	"155,085,685"	"155,471,250"	"155,836,795"
17/1/2023 16:25:15.78555	"152,356,704"	"152,742,321"	"153,100,351"	"153,489,648"	"153,928,522"	"154,721,330"	"155,085,731"	"155,471,147"	"155,836,959"
17/1/2023 16:25:16.28555	"152,356,705"	"152,742,346"	"153,100,331"	"153,489,653"	"153,928,377"	"154,721,349"	"155,085,705"	"155,471,126"	"155,836,877"
17/1/2023 16:25:16.78555	"152,356,824"	"152,742,350"	"153,100,332"	"153,489,618"	"153,928,554"	"154,721,264"	"155,085,515"	"155,471,012"	"155,836,788"
17/1/2023 16:25:17.28555	"152,356,740"	"152,742,020"	"153,100,303"	"153,489,701"	"153,928,375"	"154,721,187"	"155,085,482"	"155,471,031"	"155,836,646"
17/1/2023 16:25:17.78555	"152,356,590"	"152,742,090"	"153,100,251"	"153,489,406"	"153,928,290"	"154,721,109"	"155,085,340"	"155,470,830"	"155,836,413"
17/1/2023 16:25:18.28555	"152,347,485"	"152,730,863"	"153,084,517"	"153,470,539"	"153,905,837"	"154,692,454"	"155,051,935"	"155,438,894"	"155,802,978"
17/1/2023 16:25:18.78555	"152,296,804"	"152,680,162"	"153,032,884"	"153,470,539"	"153,875,618"	"154,627,697"	"154,997,659"	"155,399,707"	"155,784,198"
17/1/2023 16:25:19.28555	"152,298,188"	"152,668,336"	"153,011,863"	"153,470,539"	"153,826,783"	"154,626,668"	"155,000,858"	"155,404,147"	"155,788,060"
